protease-activated receptor-2
Lefty A
interleukin IL-13
heme oxygenase-1
Serpin B3/B4
Spiruchostatin A
histone deacetylase
cyclosporine A
N -cadherin
Bax inhibitor-1
matrix metalloproteinase-7
miR-17 92
Membrane-type MT-MMPs
interleukin IL-6
cytokeratin 19
tissue factor
Angiotensin II
lysyl oxidase
phosphoinositide 3-kinase
matrix metalloprotease-1
Serpin B3
Thymosin b4
E -cadherin
Fas ligand
TGF beta1
integrin-linked kinase
collagen Col1a1
Semaphorin 7a
cyclooxygenase 2
b2 -AR
Serpin B4
Interleukin 17A
Transglutaminase 2
b2 -adrenoceptors
Sema 7a
phosphoglycerate dehydrogenase
Protease-activated receptor-1
glucocorticoid receptor
serine protease
matrix metalloproteinase-3
annexin V
interleukin IL-1beta
beclin 1
MicroRNA miR-221
TGF-beta 1
miR -221
matrix metalloproteinase-9
TGF- b
microRNA miR-155
interleukin IL-1b
Smad 7
SMAD 3
cyclin D1
hypoxia-inducible factor-1a
TGF -b1
